topic,claim,evidence_text,evidence_type,stance,claim_evidence_overlap,generator_input,generator_target
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,a more recent 2009 study focusing specifically on serious aggressive behavior concluded that video game violence is not related to serious aggressive behavior in real life,nan,support,0.5652,Topic: This house believes that the sale of violent video games to minors should be banned Evidence: a more recent 2009 study focusing specifically on serious aggressive behavior concluded that video game violence is not related to serious aggressive behavior in real life Generate an argument.,video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"several major studies by groups such as The Harvard Medical School Center for Mental Health, The Journal of Adolescent Health, and The British Medical Journal have shown no conclusive link between video game usage and violent activity.""[REF",nan,oppose,0.0465,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: several major studies by groups such as The Harvard Medical School Center for Mental Health, The Journal of Adolescent Health, and The British Medical Journal have shown no conclusive link between video game usage and violent activity.""[REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"John Sherry has said (2007) ""Further, why do some researchers (e.g. Gentile & Anderson, 2003) continue to argue that video games are dangerous despite evidence to the contrary",nan,oppose,0.0526,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: John Sherry has said (2007) ""Further, why do some researchers (e.g. Gentile & Anderson, 2003) continue to argue that video games are dangerous despite evidence to the contrary Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"Ferguson (2010) has ruled out a relationship between video game violence and serious aggression, concluding ""Taken together these meta-analyses range from those which argue against meaningful effects to those which find weak effects. Thus the debate on video game violence has been reduced to whether video game violence produces no effects…or almost no effects."" [REF",nan,support,0.098,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: Ferguson (2010) has ruled out a relationship between video game violence and serious aggression, concluding ""Taken together these meta-analyses range from those which argue against meaningful effects to those which find weak effects. Thus the debate on video game violence has been reduced to whether video game violence produces no effects…or almost no effects."" [REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"Other studies reach the conclusion that violence in video games is not causally linked with aggressive tendencies. This was the conclusion of a 1999 study by the U.S. government, prompting Surgeon General David Satcher to say, ""We clearly associate media violence to aggressive behavior. But the impact was very small compared to other things. Some may not be happy with that, but that's where the science is.""[REF","[STUDY, EXPERT]",support,0.1379,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: Other studies reach the conclusion that violence in video games is not causally linked with aggressive tendencies. This was the conclusion of a 1999 study by the U.S. government, prompting Surgeon General David Satcher to say, ""We clearly associate media violence to aggressive behavior. But the impact was very small compared to other things. Some may not be happy with that, but that's where the science is.""[REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"A meta-analysis by psychologist Jonathan Freedman, who reviewed over 200 published studies and found that the ""vast and overwhelming majority"" did not find a causal link, also reached this conclusion [REF","[STUDY, EXPERT]",oppose,0.0238,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: A meta-analysis by psychologist Jonathan Freedman, who reviewed over 200 published studies and found that the ""vast and overwhelming majority"" did not find a causal link, also reached this conclusion [REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,A recent long-term outcome study of youth found no long-term relationship between playing violent video game and youth violence or bullying [REF,nan,support,0.0968,Topic: This house believes that the sale of violent video games to minors should be banned Evidence: A recent long-term outcome study of youth found no long-term relationship between playing violent video game and youth violence or bullying [REF Generate an argument.,video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"A recent longitudinal study of youth in Germany found that aggressive children tend to select more violent video games, not the inverse. This study found no evidence violent games are psychologically harmful to minors. The authors further speculated other studies may have found spurious effects due to focusing on youth self-report of aggression rather than reports by parents or teachers, the so called ""single responder bias"" [REF","[STUDY, EXPERT]",oppose,0.0769,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: A recent longitudinal study of youth in Germany found that aggressive children tend to select more violent video games, not the inverse. This study found no evidence violent games are psychologically harmful to minors. The authors further speculated other studies may have found spurious effects due to focusing on youth self-report of aggression rather than reports by parents or teachers, the so called ""single responder bias"" [REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"In Grand Theft Childhood: The Surprising Truth About Violent Video Games and What Parents Can Do, researchers/authors Lawrence Kutner, PhD, and Cheryl K. Olson, ScD, refute claims of violent behavior increase caused by violent video games",nan,oppose,0.0714,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: In Grand Theft Childhood: The Surprising Truth About Violent Video Games and What Parents Can Do, researchers/authors Lawrence Kutner, PhD, and Cheryl K. Olson, ScD, refute claims of violent behavior increase caused by violent video games Generate an argument.",video game violence is not related to serious aggressive behavior in real life
This house believes that the sale of violent video games to minors should be banned,video game violence is not related to serious aggressive behavior in real life,"Official records show that violent crime rates have declined dramatically since the early 1990s in the USA, among both juveniles and adults . This is despite sales of violent video games exploding and their content becoming increasingly graphic during the same period [REF",nan,oppose,0.0625,"Topic: This house believes that the sale of violent video games to minors should be banned Evidence: Official records show that violent crime rates have declined dramatically since the early 1990s in the USA, among both juveniles and adults . This is despite sales of violent video games exploding and their content becoming increasingly graphic during the same period [REF Generate an argument.",video game violence is not related to serious aggressive behavior in real life
